figure,panel,record_type,module,metric,estimand,condition,cluster_id,cluster_unit,estimate,ci_low,ci_high,ci_method,unit,raw_value,raw_unit,n_observations,n_clusters,numerator,denominator,transformation,weighting,source_json_path,warning
Figure 5,a,estimate,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,,task_id,0.7777777777777777,0.6666666666666666,0.8888888888888888,descriptive 95% task bootstrap,proportion,,,,6,,,,equal across frozen strata after within-artifact/auditor repeat collapse,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-DATA-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-DATA-02,task_id,0.6666666666666666,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-DATA-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-METH-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-METH-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-METH-02,task_id,0.6666666666666666,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-METH-02,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-SCI-01,task_id,0.6666666666666666,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-SCI-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->anthropic,F-SCI-02,task_id,0.6666666666666666,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->anthropic.task_values.F-SCI-02,descriptive feasibility interval; convenience tasks
Figure 5,a,estimate,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,,task_id,0.9629629629629629,0.8888888888888888,1.0,descriptive 95% task bootstrap,proportion,,,,6,,,,equal across frozen strata after within-artifact/auditor repeat collapse,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-DATA-01,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-DATA-01,descriptive feasibility interval; convenience tasks
Figure 5,a,cluster_value,Generator x Auditor,correct_gate,absolute controlled C2/D0 cell rate,anthropic->openai,F-DATA-02,task_id,1.0,,,,proportion,,,1,,,,,,.core_2x2_and_ablations.primary_pairing.D0_OFF.controlled_correct_gate_fixed_2x2.four_cells.anthropic->openai.task_values.F-DATA-02,descriptive feasibility interval; convenience tasks
